0.049768;-0.047825;0.236890;133939062
0.042959;0.125529;0.088484;133939261
-0.025730;0.071638;-0.066180;133939462
0.254884;-0.020368;-0.053533;133939661
-0.144278;-0.021503;0.164419;133939862
-0.145894;0.011652;0.061726;133940062
0.004466;0.002994;-0.032960;133940262
0.049654;-0.004476;-0.271895;133940462
-0.012151;0.000842;0.033720;133940661
-0.012209;-0.128682;0.091129;133940862
0.008146;0.076040;0.009075;133941062
0.000295;-0.057967;-0.031769;133941262
0.257232;-0.056204;0.004231;133941462
0.107410;0.124148;-0.120936;133941662
-0.037020;0.074916;0.201756;133941862
-0.031425;-0.151096;-0.005351;133942062
0.017336;-0.075296;-0.073393;133942262
0.005077;0.030132;0.108070;133942461
-0.266421;0.018735;0.083417;133942661
-0.104991;-0.013205;-0.148520;133942862
0.039044;0.128059;0.051281;133943062
0.290091;-0.072051;0.084394;133943261
0.089214;0.056813;0.000806;133943461
-0.042061;-0.074165;-0.158974;133943661
-0.024285;-0.046980;0.083818;133943862
0.016147;-0.003260;-0.051058;133944061
-0.255644;0.018173;-0.060817;133944262
-0.113430;-0.002085;-0.005954;133944461
0.038094;-0.135544;0.022942;133944661
0.032351;0.079707;0.126291;133944862
-0.017990;0.072345;-0.083151;133945062
-0.005042;-0.004079;-0.068352;133945262
0.007088;0.105798;0.003608;133945462
-0.001208;0.059611;0.152832;133945662
-0.001430;-0.012802;0.047409;133945862
0.260341;-0.149300;-0.154142;133946062
0.106555;0.085048;-0.064960;133946262
-0.037384;0.075442;-0.102392;133946462
-0.031048;-0.136648;0.093468;133946662
0.017295;-0.076981;0.060167;133946862
0.004935;0.025663;-0.004877;133947062
-0.006855;0.150796;-0.020207;133947262
0.001146;0.040562;0.005202;133947462
-0.257792;-0.150916;0.005219;133947662
-0.108239;-0.064787;-0.003467;133947862
0.040598;0.156965;0.128536;133948065
0.292420;0.071949;-0.074794;133948262
0.091814;-0.158800;0.057885;133948461
-0.302130;0.188223;0.056118;133948661
-0.131596;0.007540;0.005558;133948861
0.054495;-0.073184;-0.151265;133949062
0.034533;-0.154825;0.079451;133949262
0.236435;0.107523;-0.051548;133949461
0.102818;-0.187156;-0.059586;133949661
-0.029604;0.010075;-0.005904;133949862
-0.032978;0.199995;0.152568;133950062
0.015964;-0.056551;-0.079582;133950262
0.005961;0.029365;-0.078491;133950462
-0.006935;0.056293;0.136290;133950662
-1.166.953;0.404371;0.077959;133950862
-1.386.129;0.264151;-0.155663;133951062
1.480.934;-1.558.188;0.833921;133951262
1.740.982;0.082319;-1.412.587;133951462
1.666.263;1.587.626;0.829281;133951662
-2.093.702;-0.392092;-0.337318;133951862
-1.149.895;-0.595405;0.074915;133952062
0.381608;0.079282;0.078696;133952262
0.397068;-0.041590;-0.011616;133952462
-0.158585;0.069028;0.020197;133952662
-0.085893;0.102036;-0.092891;133952862
0.334558;-0.095132;-0.151009;133953061
0.103533;-0.105667;0.067041;133953262
-0.316272;0.022152;0.214958;133953462
-0.129599;0.161692;-0.077671;133953662
0.315942;-0.092874;-0.232060;133953862
-0.118847;0.053946;0.216901;133954061
-0.167059;-0.196902;0.026217;133954262
0.003033;0.157424;0.043463;133954462
0.056176;-0.008891;0.026283;133954662
-0.014427;0.073803;-0.112547;133954862
-0.013054;-0.099822;-0.069588;133955062
0.009023;-0.047393;0.016124;133955262
0.000166;0.005715;0.022526;133955462
-0.002444;0.014825;-0.010765;133955662
0.000913;0.126475;0.126171;133955862
0.259731;-0.080944;0.057672;133956062
-0.153377;-0.069218;-0.149091;133956262
-0.143618;0.003340;-0.069695;133956462
0.006158;0.153129;0.027797;133956662
0.048358;-0.082392;0.018056;133956862
-0.012309;0.052107;0.117555;133957062
0.247672;0.060180;-0.078398;133957262
-0.145107;0.005692;-0.067684;133957462
-0.142430;-0.152145;0.003252;133957664
0.002565;-0.051467;-0.107167;133957862
0.049088;0.024874;0.200505;133958062
-3.515.875;-0.636623;-0.140257;133958262
1.275.754;0.114219;-0.253937;133958462
4.593.658;0.768321;0.335297;133958664
1.425.371;-0.146583;-0.165405;133958862
-3.254.922;-0.063438;0.181979;133959061
-1.214.347;0.112859;0.146884;133959262
0.656181;0.067461;-0.109003;133959462
0.253814;-0.060935;-0.112759;133959664
-0.234509;-0.005325;0.023336;133959862
-0.012211;-0.108050;0.035103;133960062
