0.0862;0.0575;104.483;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;10
0.0862;0.0575;104.483;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;18
0.0862;0.0575;104.483;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;20
0.0862;0.0575;104.483;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;26
0.0862;0.0575;104.483;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;30
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;35
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;40
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0858;-0.0737;0.644;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;46
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;50
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;56
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;60
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;65
0.1245;0.0192;101.993;0.1722;0.1305;98.043;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;70
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;75
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0464;-0.0247;0.0195;-5.22;13.5;-47.76;15.78;-0.76;-1.03;81
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.22;13.5;-47.76;15.78;-0.76;-1.03;86
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.22;13.5;-47.76;15.78;-0.76;-1.03;103
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.22;13.5;-47.76;15.78;-0.76;-1.03;104
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;106
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;107
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;111
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;115
0.1245;0.0192;101.993;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;120
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;125
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;130
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;136
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0973;-0.1532;0.6536;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;140
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0862;-0.1841;0.5193;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;146
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0862;-0.1841;0.5193;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;150
0.0862;-0.1628;103.142;0.1748;0.1206;98.044;-0.0862;-0.1841;0.5193;0.0467;-0.0247;0.0254;-5.64;13.5;-47.28;19.5;-0.7;-1.02;155
